bin,mean_conf,min_conf,max_conf,count,mean_rise,median_rise,q25,q75
1,0.08095772538261838,0.0644252794791093,0.0895449917601177,13,0.045723117674422865,0.0424849176292157,0.0307513583622724,0.0561259216013321
2,0.11386163219730683,0.0954822246323739,0.1357344955734381,12,0.05219129941362208,0.053140416940813145,0.047562704915479224,0.06424205257239735
3,0.1484040820407524,0.1369859862852511,0.1907826284913459,12,0.05291457416607887,0.06313026142303235,0.010335516329664075,0.08837553550767263
4,0.29950245645999096,0.2015464157002691,0.3329485753872782,12,0.053980659716267955,0.0393720645492987,0.030963386176751224,0.07689459254427887
5,0.4214541683311064,0.3361113660260729,0.539599840332213,12,0.058031958367182536,0.06881660974412054,0.0248390083414103,0.08606666095993454
6,0.6690011739536247,0.5419902572924339,0.7128908634084512,12,0.057252236985103795,0.0689199005939613,0.02936756483575985,0.077418040459727
7,0.7531478355815396,0.7176059789986531,0.7884137026470482,12,0.07241498352473978,0.0727822384242503,0.03305855240748003,0.11043393858118238
8,0.8240965164029417,0.8008984594491679,0.8454348776243811,12,0.06139167988329966,0.05765141671180535,0.0364124551745996,0.09155762013099725
9,0.8669348626403525,0.8491809773561174,0.8757381380116409,12,0.05375306726234991,0.0397516414741272,0.02473469796522665,0.08137299771401063
10,0.892684042802586,0.8797684626837282,0.9111424863788388,12,0.05977150282457742,0.05381096757923445,0.0333252649717422,0.07550554567281392
